epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1156.08,1.84942,2.85223,1.96681,0.52948,0.0796,0.06266,0.02724,1.85379,7.17984,2.09554,0.0700109,0.00333212,0.00333212
2,2258.07,1.71389,2.51692,1.84433,0.30125,0.19745,0.14042,0.06958,1.60016,6.15619,1.82499,0.0399449,0.00659947,0.00659947
3,3352.27,1.60642,2.2573,1.73826,0.38783,0.21531,0.17089,0.09107,1.51518,5.21398,1.76767,0.00981294,0.00980081,0.00980081
4,4463.72,1.53873,2.07485,1.67687,0.4805,0.23974,0.2087,0.11785,1.44951,6.90098,1.69315,0.009703,0.009703,0.009703
5,5557.47,1.48521,1.94443,1.63646,0.43003,0.25244,0.2423,0.13599,1.41583,6.77103,1.64772,0.009604,0.009604,0.009604
6,6649.9,1.44041,1.83359,1.60124,0.49606,0.28963,0.27378,0.1604,1.36493,8.79017,1.61247,0.009505,0.009505,0.009505
7,7745.48,1.4025,1.75606,1.56926,0.50298,0.29562,0.30363,0.17817,1.32288,7.20368,1.56438,0.009406,0.009406,0.009406
8,9130.48,1.37434,1.68144,1.54642,0.4943,0.31666,0.30211,0.18283,1.29247,8.81819,1.54827,0.009307,0.009307,0.009307
9,10221,1.34872,1.62409,1.52377,0.4405,0.35403,0.33563,0.20451,1.27014,7.01451,1.50664,0.009208,0.009208,0.009208
10,11355,1.32574,1.56053,1.50685,0.52645,0.33931,0.34738,0.21261,1.24962,8.34492,1.49127,0.009109,0.009109,0.009109
11,13046,1.31374,1.52757,1.49477,0.42827,0.37767,0.35173,0.21986,1.21858,7.83114,1.46011,0.00901,0.00901,0.00901
12,14133.9,1.28872,1.48302,1.48139,0.47044,0.3757,0.36122,0.22567,1.21108,8.40197,1.45423,0.008911,0.008911,0.008911
13,15205.5,1.26873,1.44006,1.46241,0.476,0.37313,0.38454,0.24334,1.19746,7.83799,1.43881,0.008812,0.008812,0.008812
14,16284.5,1.26125,1.40003,1.45752,0.57984,0.36231,0.38294,0.24261,1.17708,7.77481,1.42276,0.008713,0.008713,0.008713
15,17920.6,1.24008,1.36778,1.43915,0.57622,0.36905,0.40406,0.25779,1.16288,8.20095,1.41183,0.008614,0.008614,0.008614
16,18995.1,1.22036,1.33002,1.42966,0.56921,0.39066,0.39381,0.25641,1.13231,8.42667,1.38824,0.008515,0.008515,0.008515
17,20067.9,1.21624,1.31883,1.42454,0.5039,0.40373,0.42092,0.27156,1.13866,9.3076,1.39406,0.008416,0.008416,0.008416
18,21469.1,1.20377,1.28825,1.41573,0.49965,0.45509,0.42832,0.27832,1.12599,9.01562,1.38841,0.008317,0.008317,0.008317
19,22539.1,1.19476,1.27414,1.40968,0.61398,0.37752,0.43567,0.28627,1.10835,8.99107,1.36978,0.008218,0.008218,0.008218
20,23612.8,1.18436,1.24137,1.40142,0.55634,0.39876,0.43449,0.28428,1.10772,9.27589,1.36043,0.008119,0.008119,0.008119
21,24716.9,1.17537,1.22499,1.39332,0.60907,0.40453,0.44682,0.29098,1.10065,9.24771,1.35038,0.00802,0.00802,0.00802
22,26388.2,1.16609,1.21016,1.3864,0.5485,0.4192,0.44411,0.29331,1.08367,9.93354,1.34353,0.007921,0.007921,0.007921
23,27457.4,1.15781,1.19238,1.37811,0.54662,0.43296,0.45637,0.30034,1.07879,10.0363,1.34061,0.007822,0.007822,0.007822
24,28525.3,1.15083,1.18141,1.37526,0.55579,0.46145,0.47057,0.30994,1.08049,9.62124,1.3387,0.007723,0.007723,0.007723
25,29595.4,1.14374,1.15824,1.3673,0.5609,0.45021,0.47316,0.312,1.07757,10.1002,1.33684,0.007624,0.007624,0.007624
26,30663,1.13346,1.13956,1.36098,0.5725,0.46872,0.48137,0.31655,1.06473,9.71782,1.32585,0.007525,0.007525,0.007525
27,31730.6,1.12502,1.12248,1.35428,0.55978,0.47472,0.48525,0.32112,1.06054,9.96445,1.32222,0.007426,0.007426,0.007426
28,32801.3,1.11746,1.11528,1.35329,0.55933,0.47256,0.48477,0.32041,1.05531,10.1437,1.3209,0.007327,0.007327,0.007327
29,33972.4,1.11347,1.10013,1.34755,0.54362,0.48835,0.49434,0.32664,1.04885,9.8835,1.31402,0.007228,0.007228,0.007228
30,35237.3,1.10072,1.07781,1.33549,0.55841,0.48976,0.497,0.32768,1.04059,9.97327,1.30868,0.007129,0.007129,0.007129
31,37155.1,1.09803,1.07146,1.33643,0.5683,0.48204,0.49492,0.32974,1.03493,10.2916,1.30326,0.00703,0.00703,0.00703
32,38414.4,1.08739,1.04915,1.32615,0.5801,0.49145,0.49874,0.331,1.0307,10.5041,1.29755,0.006931,0.006931,0.006931
33,39482.7,1.08557,1.04545,1.32805,0.57667,0.48661,0.50098,0.33108,1.02689,10.5441,1.29319,0.006832,0.006832,0.006832
34,40557.3,1.07618,1.03424,1.31588,0.66809,0.4991,0.50559,0.33427,1.02405,10.4477,1.29146,0.006733,0.006733,0.006733
35,41627.6,1.07502,1.02099,1.31725,0.67233,0.49437,0.51138,0.33808,1.02237,10.5896,1.29002,0.006634,0.006634,0.006634
36,42715.4,1.06649,1.01056,1.30914,0.66505,0.50165,0.51528,0.34166,1.02007,10.7041,1.28805,0.006535,0.006535,0.006535
37,43782.8,1.06029,1.00465,1.30767,0.70256,0.4748,0.51669,0.34375,1.01823,10.7636,1.28583,0.006436,0.006436,0.006436
38,44918.4,1.0583,0.9875,1.30407,0.68396,0.49863,0.51799,0.34464,1.01626,10.8615,1.28436,0.006337,0.006337,0.006337
39,45992.2,1.04376,0.9835,1.29425,0.67653,0.51117,0.52164,0.34688,1.01439,10.9324,1.2825,0.006238,0.006238,0.006238
40,47068.9,1.04888,0.96968,1.29599,0.67298,0.48941,0.50394,0.3306,1.01959,10.6368,1.28591,0.006139,0.006139,0.006139
41,48219.6,1.04281,0.96657,1.29428,0.67124,0.48892,0.5068,0.33307,1.01827,10.6655,1.28473,0.00604,0.00604,0.00604
42,49305.7,1.03617,0.958,1.28756,0.67748,0.49247,0.50855,0.33456,1.01645,10.7475,1.28401,0.005941,0.005941,0.005941
43,50391.5,1.03671,0.95455,1.28829,0.67511,0.49623,0.51055,0.33584,1.01487,10.8329,1.28271,0.005842,0.005842,0.005842
44,51625.9,1.02654,0.93988,1.28202,0.67348,0.49586,0.51137,0.33567,1.01313,10.9015,1.28124,0.005743,0.005743,0.005743
45,53070.8,1.02581,0.92556,1.27817,0.67063,0.49769,0.51236,0.33672,1.01185,10.9644,1.27966,0.005644,0.005644,0.005644
46,54140.6,1.02642,0.93385,1.27859,0.67318,0.49932,0.51347,0.33731,1.00979,10.9522,1.27796,0.005545,0.005545,0.005545
47,55221.3,1.01552,0.91868,1.27477,0.67278,0.49972,0.51372,0.33762,1.00803,10.9932,1.27708,0.005446,0.005446,0.005446
48,56294.8,1.0069,0.90363,1.26882,0.67912,0.4984,0.51383,0.33819,1.00656,11.0347,1.27582,0.005347,0.005347,0.005347
49,57376.2,1.00628,0.89588,1.26593,0.68749,0.49996,0.51465,0.33805,1.00432,11.0896,1.27414,0.005248,0.005248,0.005248
50,58457.3,0.99797,0.89103,1.26059,0.68409,0.50065,0.51528,0.33953,1.00278,11.1033,1.27317,0.005149,0.005149,0.005149
51,59540.6,0.99594,0.88127,1.25933,0.68632,0.5023,0.51686,0.34083,1.00106,11.0949,1.27181,0.00505,0.00505,0.00505
52,60657.4,0.9893,0.87788,1.25749,0.69432,0.50037,0.51915,0.3419,0.99992,11.0982,1.27066,0.004951,0.004951,0.004951
53,61800.6,0.98035,0.86586,1.24878,0.69203,0.50175,0.52029,0.34282,0.99931,11.1195,1.27042,0.004852,0.004852,0.004852
54,62941.6,0.97898,0.86258,1.24354,0.69365,0.50258,0.52183,0.34384,0.99852,11.1234,1.26981,0.004753,0.004753,0.004753
55,64024.7,0.97869,0.85498,1.24829,0.69706,0.50093,0.5226,0.34463,0.99793,11.1442,1.26909,0.004654,0.004654,0.004654
56,65094.1,0.97373,0.84858,1.24208,0.69645,0.50222,0.52373,0.34577,0.99674,11.1631,1.26826,0.004555,0.004555,0.004555
57,66164,0.96741,0.84146,1.23936,0.6969,0.50105,0.52444,0.34685,0.99558,11.1617,1.26741,0.004456,0.004456,0.004456
58,67234,0.96419,0.83487,1.23744,0.69625,0.50485,0.52556,0.34788,0.99432,11.1822,1.26671,0.004357,0.004357,0.004357
59,68304.1,0.95868,0.82801,1.23402,0.69733,0.50426,0.52684,0.34869,0.99322,11.2006,1.26561,0.004258,0.004258,0.004258
60,69376.8,0.95449,0.81455,1.22808,0.69804,0.50542,0.52806,0.34935,0.99248,11.2078,1.26501,0.004159,0.004159,0.004159
61,70479.9,0.94869,0.81228,1.22491,0.69637,0.50605,0.52824,0.35058,0.99175,11.2245,1.26437,0.00406,0.00406,0.00406
62,71558.1,0.94926,0.80874,1.22851,0.70681,0.50112,0.529,0.35145,0.99086,11.2528,1.26372,0.003961,0.003961,0.003961
63,72625.4,0.94569,0.80406,1.22447,0.70772,0.50092,0.53005,0.35201,0.99046,11.2715,1.26363,0.003862,0.003862,0.003862
64,73707.3,0.94651,0.80092,1.22695,0.70621,0.50323,0.53061,0.35277,0.99016,11.2759,1.26319,0.003763,0.003763,0.003763
65,74775.4,0.93961,0.79342,1.21995,0.71063,0.50464,0.5318,0.35352,0.9892,11.289,1.26261,0.003664,0.003664,0.003664
66,75843,0.93396,0.78915,1.21356,0.71033,0.50715,0.53307,0.35449,0.98846,11.3133,1.26208,0.003565,0.003565,0.003565
67,76910.5,0.92814,0.77938,1.20982,0.71444,0.5046,0.53389,0.35489,0.98748,11.3383,1.26129,0.003466,0.003466,0.003466
68,77977.1,0.92723,0.77716,1.21249,0.71781,0.50433,0.53513,0.35592,0.98642,11.3635,1.26069,0.003367,0.003367,0.003367
69,79043.8,0.91568,0.76747,1.20559,0.71794,0.50538,0.53598,0.35647,0.98519,11.3789,1.25995,0.003268,0.003268,0.003268
70,80110.4,0.9213,0.76425,1.20596,0.73027,0.49655,0.53702,0.35682,0.98434,11.3787,1.25957,0.003169,0.003169,0.003169
71,81175.8,0.91488,0.76306,1.20339,0.72703,0.4983,0.53742,0.35791,0.98314,11.3884,1.25848,0.00307,0.00307,0.00307
72,82242.4,0.91258,0.75724,1.20257,0.72518,0.50173,0.5384,0.35826,0.98225,11.4114,1.25776,0.002971,0.002971,0.002971
73,83307.7,0.90593,0.74658,1.19733,0.72462,0.5092,0.53961,0.35933,0.98229,11.4238,1.25783,0.002872,0.002872,0.002872
74,84374.8,0.90299,0.74923,1.19614,0.71648,0.51696,0.54001,0.35955,0.98178,11.4378,1.2572,0.002773,0.002773,0.002773
75,85445,0.89915,0.7399,1.19471,0.71743,0.51635,0.54036,0.36042,0.98128,11.451,1.25687,0.002674,0.002674,0.002674
76,86511.5,0.8935,0.73135,1.19226,0.7257,0.51213,0.54081,0.36134,0.98071,11.4785,1.2564,0.002575,0.002575,0.002575
77,87578.9,0.88959,0.72674,1.18668,0.71716,0.5173,0.54137,0.36133,0.98012,11.5014,1.25613,0.002476,0.002476,0.002476
78,88645.2,0.89381,0.72818,1.18779,0.71531,0.51811,0.54102,0.3615,0.97946,11.5058,1.25562,0.002377,0.002377,0.002377
79,89710.7,0.88264,0.71911,1.18229,0.71067,0.52214,0.54216,0.36231,0.97823,11.5263,1.25436,0.002278,0.002278,0.002278
80,90776.2,0.88603,0.71917,1.18467,0.71911,0.51831,0.5422,0.36263,0.97764,11.5575,1.25382,0.002179,0.002179,0.002179
81,94683.5,0.8763,0.70657,1.17767,0.72094,0.52033,0.54351,0.36287,0.97731,11.5862,1.25344,0.00208,0.00208,0.00208
82,95855.7,0.87776,0.7085,1.18033,0.71833,0.5189,0.54395,0.36379,0.97675,11.6148,1.25311,0.001981,0.001981,0.001981
83,96935,0.875,0.70227,1.17557,0.72081,0.51825,0.5458,0.36436,0.97638,11.615,1.25314,0.001882,0.001882,0.001882
84,98017,0.87225,0.6943,1.17518,0.72495,0.45918,0.51692,0.3448,0.98043,11.6691,1.26051,0.001783,0.001783,0.001783
85,99094.6,0.8632,0.68861,1.1709,0.72018,0.46267,0.51757,0.34517,0.97999,11.6959,1.26013,0.001684,0.001684,0.001684
86,100172,0.86391,0.69054,1.16872,0.73049,0.45564,0.51761,0.34528,0.97954,11.7193,1.25993,0.001585,0.001585,0.001585
87,101249,0.86476,0.68772,1.16926,0.72945,0.46062,0.51812,0.34558,0.97927,11.7197,1.25973,0.001486,0.001486,0.001486
88,102325,0.85497,0.67888,1.16493,0.73024,0.46181,0.51852,0.34645,0.97904,11.7357,1.25956,0.001387,0.001387,0.001387
89,103402,0.85951,0.68567,1.16732,0.72976,0.4618,0.5184,0.34704,0.97842,11.7646,1.25913,0.001288,0.001288,0.001288
90,104479,0.85114,0.67309,1.16169,0.72876,0.4625,0.51868,0.34721,0.97773,11.7914,1.25859,0.001189,0.001189,0.001189
91,105581,0.77296,0.51742,1.12396,0.73328,0.46254,0.52001,0.34815,0.97728,11.8123,1.25834,0.00109,0.00109,0.00109
92,106671,0.76472,0.50353,1.12297,0.73602,0.46318,0.5204,0.34834,0.97706,11.8271,1.25823,0.000991,0.000991,0.000991
